compound,positive,neutral,negative,Date,tweets_ago,tweet,news source
0.0,0.0,1.0,0.0,Fri Jul 13 17:49:38 +0000 2018,30,Take a walk down @YandR_CBS memory lane with stars @JessWaltonYR and Peter Bergman! You can watch full episodes of… https://t.co/MZEUfiJJyb,CBS
0.1139,0.078,0.922,0.0,Fri Jul 13 21:35:01 +0000 2018,29,"Stand up. Speak up. Blow the whistle. 

Don't miss the premiere of the @TrueCrimeCBS series #Whistleblower tonight… https://t.co/uNhx4Codc2",CBS
0.807,0.3,0.7,0.0,Tue Jul 17 17:22:26 +0000 2018,28,Celebrate #WorldEmojiDay with a fun game! Use the emoji sequences below to guess the CBS show. 👇 Tweet your respons… https://t.co/LCqvuVtkXK,CBS
0.0,0.0,1.0,0.0,Tue Jul 17 17:22:26 +0000 2018,27,💥🌎🔬 #WorldEmojiDay,CBS
0.0,0.0,1.0,0.0,Tue Jul 17 17:22:27 +0000 2018,26,👶💥🌎🔬 #WorldEmojiDay,CBS
0.0,0.0,1.0,0.0,Tue Jul 17 17:22:27 +0000 2018,25,🏠📹📹📹 #WorldEmojiDay,CBS
0.0,0.0,1.0,0.0,Tue Jul 17 17:22:27 +0000 2018,24,🐮⚖️ #WorldEmojiDay,CBS
0.0,0.0,1.0,0.0,Tue Jul 17 17:22:27 +0000 2018,23,🏝🔥💵 #WorldEmojiDay,CBS
0.0,0.0,1.0,0.0,Tue Jul 17 17:22:27 +0000 2018,22,💄👠📷 #WorldEmojiDay,CBS
0.0,0.0,1.0,0.0,Tue Jul 17 17:22:28 +0000 2018,21,🤝💼💰 #WorldEmojiDay,CBS
0.0,0.0,1.0,0.0,Tue Jul 17 17:22:28 +0000 2018,20,👶😴🚫 #WorldEmojiDay,CBS
0.0,0.0,1.0,0.0,Tue Jul 17 17:22:28 +0000 2018,19,🏷💰🎰 #WorldEmojiDay,CBS
0.0,0.0,1.0,0.0,Tue Jul 17 17:22:28 +0000 2018,18,🌎☄️ #WorldEmojiDay,CBS
0.0,0.0,1.0,0.0,Tue Jul 17 17:22:28 +0000 2018,17,💣📎 #WorldEmojiDay,CBS
0.0,0.0,1.0,0.0,Tue Jul 17 17:22:28 +0000 2018,16,💙👮🍽 #WorldEmojiDay,CBS
0.0,0.0,1.0,0.0,Tue Jul 17 17:22:29 +0000 2018,15,🏄🌴🚔 #WorldEmojiDay,CBS
0.0,0.0,1.0,0.0,Tue Jul 17 17:22:29 +0000 2018,14,⚓️🦅🇺🇸 #WorldEmojiDay,CBS
0.0,0.0,1.0,0.0,Tue Jul 17 17:22:29 +0000 2018,13,🕵️🕵️‍♀️ #WorldEmojiDay,CBS
0.0,0.0,1.0,0.0,Tue Jul 17 17:22:29 +0000 2018,12,👩‍💼💼🇺🇸 #WorldEmojiDay,CBS
0.0,0.0,1.0,0.0,Tue Jul 17 17:22:29 +0000 2018,11,👨📝✔️ #WorldEmojiDay,CBS
0.0,0.0,1.0,0.0,Tue Jul 17 17:55:25 +0000 2018,10,🤰👩‍👧🚫🍸 #WorldEmojiDay,CBS
0.0,0.0,1.0,0.0,Fri Jul 20 15:08:23 +0000 2018,9,"This @cbsallaccess series is unlike any fairy tale you've ever seen before. @paulwesley, @kevwilliamson &amp;… https://t.co/icsSnPxKAr",CBS
0.0,0.0,1.0,0.0,Fri Jul 20 21:39:09 +0000 2018,8,Take a trip down memory lane with the cast and crew of @MagnumPICBS at #SDCC2018! https://t.co/jHVxm7kyaT,CBS
-0.6597,0.0,0.82,0.18,Fri Jul 20 23:44:54 +0000 2018,7,George blew the whistle on a doctor targeting those who believed they had cancer. What was the outcome? Find out to… https://t.co/rLlNzlK3Cy,CBS
0.8293,0.34,0.66,0.0,Mon Jul 23 21:30:33 +0000 2018,6,The cast couldn’t be more excited to welcome @ansonmount into the @startrekcbs family! Who’s ready to see the iconi… https://t.co/fOS4f4VCb2,CBS
-0.1511,0.068,0.834,0.099,Tue Jul 24 18:54:14 +0000 2018,5,"Mark your calendars because you won’t want to miss this! Former Secretaries of State @HillaryClinton, @Madeleine, a… https://t.co/JKDPp97OqN",CBS
0.34,0.118,0.882,0.0,Wed Jul 25 01:05:03 +0000 2018,4,Who's excited for the return of @MurphyBrownCBS? Here's a behind-the-scenes look at the first table read of the sea… https://t.co/1B5S4WJnCW,CBS
0.0,0.0,1.0,0.0,Wed Jul 25 15:12:31 +0000 2018,3,"Renowned artists Cher, Philip Glass, Reba McEntire, Wayne Shorter, and the co-creators of #Hamilton will be recogni… https://t.co/PEjjI9MKE1",CBS
0.5707,0.187,0.813,0.0,Wed Jul 25 17:25:36 +0000 2018,2,"This is one allowance that can’t be beat! Kids are winning big this week on @PriceIsRight. 🎉
 https://t.co/lncKu9XvNo",CBS
0.34,0.124,0.876,0.0,Sat Jul 28 16:43:56 +0000 2018,1,"Housewives. PTA moms. School volunteers. Starting TONIGHT, hear the stories of seemingly innocent women who put it… https://t.co/5TA15OiTuh",CBS
0.6908,0.263,0.737,0.0,Fri Jul 20 11:21:07 +0000 2018,100,"From satirical cartoons to original Rembrandts and taxidermy geese, there’s plenty to intrigue art lovers this summ… https://t.co/9YDofEBDLI",BBC
-0.5216,0.0,0.64,0.36,Fri Jul 20 12:02:04 +0000 2018,99,🐻🍞♥️ Who doesn't love a teddy bear?  https://t.co/Pxd4u1WYLa,BBC
0.7845,0.361,0.639,0.0,Fri Jul 20 13:03:04 +0000 2018,98,"Korean is rapidly growing in popularity, in a language-learning boom driven by the popularity of the country's… https://t.co/t9EfT4am8g",BBC
0.2235,0.086,0.914,0.0,Fri Jul 20 13:33:22 +0000 2018,97,"David Attenborough wants you to get out a chair and spot some 🦋🦋🦋 

And you can't say no to such a legend...… https://t.co/PKWvebWrHz",BBC
0.0,0.0,1.0,0.0,Fri Jul 20 14:31:04 +0000 2018,96,"A can of lager and a packet of custard creams are the secret to a long life for Eileen, a Blackpool woman celebrati… https://t.co/y5KL6atB0O",BBC
0.0,0.0,1.0,0.0,Fri Jul 20 15:59:00 +0000 2018,95,Actual footage of me leaving work for the weekend and not looking back... 👋 #FridayFeeling https://t.co/Ppg3Qk7fj3,BBC
0.0,0.0,1.0,0.0,Fri Jul 20 17:02:06 +0000 2018,94,"📺 @louistheroux dives into the BBC Archives and selects his favourite documentaries.

Louis Theroux: Docs That Made… https://t.co/Hun3M35ZEQ",BBC
0.0,0.0,1.0,0.0,Fri Jul 20 18:03:08 +0000 2018,93,🏥🎶 Every member of this choir is here on doctor's orders. https://t.co/5GLpzwPzwU,BBC
-0.4215,0.194,0.543,0.264,Fri Jul 20 19:02:04 +0000 2018,92,From honeymoon horror to a dine and dash: this is what happens when holiday romances go wrong. 🏝😳💔… https://t.co/o0skuAQ21P,BBC
0.0,0.0,1.0,0.0,Sat Jul 21 07:03:03 +0000 2018,91,"Should we be allowed to modify human DNA in future children? 🔬

An inquiry has found editing human embryos 'morally… https://t.co/ym7J8WiOLt",BBC
-0.5267,0.0,0.794,0.206,Sat Jul 21 08:03:05 +0000 2018,90,"""I was training and missed it. I cried.""  ❤️️

@serenawilliams has opened up about missing her baby's first steps.… https://t.co/h7B11Zrvxy",BBC
0.4939,0.167,0.833,0.0,Sat Jul 21 09:02:04 +0000 2018,89,🇱🇰 The Sri Lankan schoolgirl turned inventor trying to save the planet one lunchbox at a time. https://t.co/RZlJolph79,BBC
0.7506,0.314,0.686,0.0,Sat Jul 21 09:03:03 +0000 2018,88,"Amazing innovation 💡
A family in France has become the first to move in to a 3D-printed house. https://t.co/FYDtNW19PL",BBC
